doi,citations_in_wos,citations_in_scopus
10.4103/0972-5229.156487,0,0
10.3357/amhp.4075.2015,3,0
10.5152/tjg.2014.7674,1,
10.1017/s0016672315000026,0,
10.1097/bsd.0000000000000266,0,
10.1517/13543776.2015.1021688,0,
10.1089/dna.2014.2773,0,
10.1177/0022146514568351,0,0
10.1016/j.bios.2015.01.063,1,0
10.5812/atr.22551,0,
10.1016/j.ahj.2014.11.001,0,
10.1186/s40201-014-0153-z,2,
10.1016/j.ejogrb.2014.09.037,1,0
10.4103/0972-124x.147399,0,1
10.1073/pnas.1417891112,2,1
10.1136/bcr-2014-208484,0,0
10.1155/2014/467063,0,1
10.1155/2014/243159,0,1
10.4137/ojcs.s16156,0,
10.1126/science.1256151,3,4
10.1016/j.ijcard.2014.12.014,0,
10.1186/s13018-014-0133-0,1,1
10.1039/c4nr05077k,0,
10.1186/s13019-014-0194-5,1,1
10.1016/j.ajpath.2014.08.023,0,
10.3978/j.issn.2078-6891.2014.055,1,
10.4161/hv.28834,0,
10.3892/mmr.2014.2899,1,0
10.1155/2014/602586,0,2
